Department,District,Business,Adress,Acceptance,Category,Sub-category,Contact,Instagram,Facebook,X,Website
La Union,Intipucá,Taller Robles,"13.3962608, -87.9225375",No,Other,Other vendors,61298745,,,,
La Union,Intipucá,Taller auto motriz robles,"13.3968317, -87.9225447",No,Other,Other vendors,70123489,,,,
La Union,Intipucá,Pupuseria Hortensia,"13.3912753, -87.927773",No,Food & Beverage,Restaurants,68901234,,,,
La Union,Intipucá,ABOGADO RIOS,"13.3974872, -87.9233982",No,Other,Other vendors,29873456,,,,
La Union,Intipucá,Pupusería Emely,"13.3975922, -87.9234881",No,Food & Beverage,Restaurants,22456789,,,,
La Union,Intipucá,Carolina salón,"13.3975853, -87.9249761",No,Retail,Retailers,74561230,,,,
La Union,Intipucá,Tienda Ríos Fuentes,"13.3980984, -87.9244084",No,Retail,Retailers,63458912,,,,
La Union,Intipucá,Ingrid Salón,"13.3979708, -87.9247082",No,Retail,Retailers,2627 6151,,,,
La Union,Intipucá,Pupusería Brianitha,"13.3976616, -87.9253304",No,Food & Beverage,Restaurants,71230984,,,,
La Union,Intipucá,Lino'S Taberna,"13.3983498, -87.8988592",No,Food & Beverage,Restaurants,25678901,,,,
La Union,Intipucá,Chalet victoria,"13.398128, -87.8995438",No,Food & Beverage,Restaurants,22156734,,,,
La Union,Intipucá,Tienda Rosmery,"13.3985537, -87.8992765",No,Retail,Retailers,69823451,,,,
La Union,Intipucá,Cercos de Piedra,"13.3979336, -87.9008539",No,Other,Other vendors,73489012,,,,
La Libertad,La Libertad,"Confort in Peace | Playa Cangrejera, La Libertad","13.431671, -89.1801471",No,Accommodation,Accommodations,7291 5665,,,,
La Libertad,La Libertad,Nácar restaurante,"13.4326875, -89.1830625",No,Food & Beverage,Restaurants,7396 9139,,,,
La Paz,San Luis Talpa,Rancho Amatecampo 73b,"13.4156519, -89.1478902",No,Accommodation,Accommodations,61234987,,,,
La Paz,San Luis Talpa,Ferretería Ramos,"13.4180155, -89.1223794",No,Retail,Retailers,70981234,,,,
La Paz,San Luis Talpa,TALLER BIKE JOSUE,"13.4245023, -89.1175118",No,Other,Other vendors,7574 2639,,,,
La Paz,San Luis Talpa,Tienda Niña Marta,"13.4240605, -89.0857922",No,Retail,Retailers,24509876,,,,
La Paz,San Luis Talpa,Comedor de Niña Tomasa,"13.4230787, -89.0847722",No,Food & Beverage,Restaurants,22890123,,,,
La Paz,San Luis Talpa,Tienda claudia,"13.4230832, -89.0847688",No,Retail,Retailers,67123409,,,,
La Paz,San Luis Talpa,Tienda Irma,"13.4255724, -89.0985566",No,Retail,Retailers,72345698,,,,
La Paz,San Luis Talpa,Tienda niña mari,"13.4258287, -89.0986376",No,Retail,Retailers,29876123,,,,
La Paz,San Luis Talpa,Tienda de Don Renaldo,"13.41864, -89.0635462",No,Retail,Retailers,22199876,,,,
La Paz,San Luis Talpa,Tienda de Lupe,"13.420766, -89.0658114",No,Retail,Retailers,68974530,,,,
La Paz,San Luis Talpa,AW Innovation Motors,"13.4194272, -89.0465039",No,Other,Other vendors,63451298,,,,
La Paz,San Luis Talpa,"Tienda paca, tortillas","13.4089473, -89.0308521",No,Retail,Retailers,74509812,,,,
La Paz,San Luis Talpa,Tienda Chrislevi,"13.4088213, -89.0303385",No,Retail,Retailers,25671234,,,,
La Paz,San Luis Talpa,Carwash The Master,"13.4110648, -89.0369368",No,Other,Other vendors,22123498,,,,
La Paz,San Luis Talpa,Venta de Granos Básicos y Lácteos,"13.4109375, -89.0369078",No,Food & Beverage,Restaurants,7032 3210,,,,
La Paz,San Luis Talpa,TIRNDA TECH N.,"13.4078402, -89.0305781",Yes,Other,Other vendors,6982 9339,,,,
La Paz,San Luis Talpa,"Taller Rodriguez, EL ACHIOTAL","13.4070137, -89.0316329",No,Other,Other vendors,7895 7217,,,,
La Paz,San Luis Talpa,Pupuseria la familia,"13.4067337, -89.0314684",No,Food & Beverage,Restaurants,7092 0574,,,,
La Paz,San Luis Talpa,La Taberna de Moe,"13.4230104, -89.0165316",No,Food & Beverage,Restaurants,61289034,,,,
La Paz,San Luis Talpa,Tienda Alexander,"13.4246508, -89.0015175",No,Retail,Retailers,7788 3935,,,,
La Paz,San Luis Talpa,"Distribuidora Lorena, colonia san lorenzo","13.4261795, -88.9984064",No,Retail,Retailers,70983412,,,,
La Paz,San Luis Talpa,Típicos Silvia,"13.42368, -88.9454788",No,Food & Beverage,Restaurants,24561298,,,,
La Paz,San Luis Talpa,Taller de reparación El Tierno,"13.4212527, -88.9473768",No,Other,Other vendors,7141 4331,,,,
La Paz,San Luis Talpa,Pupuseria bendicion casa verónica torres,"13.4163285, -88.9466389",No,Food & Beverage,Restaurants,22678945,,,,
La Paz,San Luis Talpa,Tienda Las Lomitas,"13.412307, -88.8427448",No,Retail,Retailers,72348901,,,,
La Paz,San Luis Talpa,Tienda Ulises,"13.4314825, -88.8499856",No,Retail,Retailers,29870124,,,,
La Paz,San Luis Talpa,Taberna Del nene Guellon,"13.4259593, -88.811782",No,Food & Beverage,Restaurants,7979 8920,,,,
San Vicente,Tecoluca,Lácteos Barrio Nuevo,"13.4266968, -88.7992442",No,Food & Beverage,Restaurants,6034 1847,,,,
San Vicente,Tecoluca,Service Technologies Rivera,"13.4293864, -88.7989513",No,Other,Other vendors,6107 0506,,,,
San Vicente,Tecoluca,Maravilla Super Market,"13.4300992, -88.7988352",No,Retail,Retailers,7286 4244,,,,
